"","review_count","Accepts_Credit_Cards","Number_of_Checkins","open_7_days","offer_free_wifi","no_of_cuisine","serve_alcohol","low_price","medium_price","high_price","offer_delivery","offer_outdoor_seating","is_good_for_groups","is_good_for_kids","take_reservation","has_takeout","has_any_parking","moderate_noise_level","class_high_rated"
"37",3,1,0,0,0,2,0,1,0,0,0,0,1,1,0,1,0,1,0
"38",8,1,64,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0
"39",3,1,21,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1
"40",48,1,103,1,0,2,0,1,0,0,0,0,1,1,0,1,1,1,0
"41",6,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1
"42",30,1,52,0,0,2,1,0,1,0,0,0,1,0,1,0,1,0,0
"43",10,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
"44",8,1,135,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0
"45",26,1,57,0,0,3,1,0,1,0,0,1,1,0,0,1,1,0,0
"46",85,1,238,1,0,3,1,0,1,0,0,0,1,1,1,1,1,0,0
"47",3,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
"48",5,1,9,0,1,2,0,1,0,0,0,0,1,1,0,1,0,1,0
"49",4,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0
"50",124,1,460,1,0,2,1,0,1,0,0,1,1,1,1,1,1,1,0
"51",3,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
"52",40,1,140,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0
"53",31,1,192,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0
"54",17,1,139,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0
"55",74,1,216,1,1,3,1,0,1,0,0,1,1,0,1,1,1,0,0
"56",16,1,60,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0
"57",3,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,1,1,1
"58",11,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
"59",5,1,3,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
"60",19,1,121,0,1,3,1,0,1,0,0,0,1,1,1,1,1,1,0
"61",41,1,128,1,1,2,1,0,1,0,0,0,1,1,0,1,1,1,0
"62",4,1,13,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1
"63",3,1,18,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0
"64",3,1,13,1,0,0,1,0,1,0,0,0,1,1,0,1,1,1,1
"65",82,1,262,1,0,2,1,0,1,0,0,0,1,1,1,1,1,0,0
"66",6,1,16,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1
"67",22,1,112,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0
"68",3,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
"69",21,1,283,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0
"70",9,1,12,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
"71",8,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0
"72",5,1,42,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1
"73",7,1,64,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0
"74",43,1,158,1,0,2,0,1,0,0,0,0,1,1,0,1,1,1,0
"75",6,1,62,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1
"76",9,1,36,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0
"77",99,1,164,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0
"78",6,1,36,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0
"79",7,1,55,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0
"80",3,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0
"81",3,1,10,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0
"82",3,0,4,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0
"83",3,0,4,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1
"84",16,1,3,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1
"85",4,1,3,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0
"86",4,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1
"87",11,1,6,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1
"88",33,1,47,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1
"89",4,1,8,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,1
"90",17,1,19,1,1,3,0,1,0,0,0,0,1,1,0,1,1,1,1
"91",12,0,12,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1
"92",4,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0
"93",6,1,27,0,0,4,1,0,1,0,0,0,1,1,0,1,0,1,0
"94",3,1,7,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0
"95",7,1,9,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1
"96",3,1,11,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1
"97",6,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0
"98",14,1,6,0,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1
"99",3,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
"100",17,1,9,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1
"101",6,1,17,0,1,2,0,1,0,0,0,0,1,1,0,1,0,1,0
"102",9,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0
"103",8,1,3,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
"104",4,1,33,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0
"105",4,1,4,0,0,2,0,1,0,0,0,0,1,1,0,1,0,1,0
"106",10,1,21,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
"107",4,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,1
"108",3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1
"109",5,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0
"110",21,1,26,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1
"111",3,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
"112",4,1,3,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
"113",7,1,22,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,1
"114",21,0,15,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0
"115",24,0,48,1,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0
"116",8,1,12,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0
"117",4,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
"118",12,1,24,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1
"119",8,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
"120",60,1,43,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,0
"121",3,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1
"122",5,1,5,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
"123",15,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1
"124",13,1,120,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0
"125",7,1,7,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
"126",5,1,4,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,1
"127",4,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
"128",21,1,14,1,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0
"129",14,0,17,0,0,2,0,1,0,0,0,1,1,1,0,1,1,1,0
"130",8,1,9,1,1,2,1,0,1,0,1,1,1,1,1,1,1,1,0
"131",5,1,14,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
"132",18,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1
"133",40,1,234,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1
"134",7,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
"135",5,1,24,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0
"136",7,1,7,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
"137",7,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
"138",106,1,237,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1
"139",10,1,45,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
"140",64,1,615,0,0,3,1,0,1,0,1,0,1,0,0,1,1,0,0
"141",14,1,18,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0
"142",4,1,7,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1
"143",5,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
"144",7,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
"145",8,1,6,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
"146",6,1,17,1,1,2,0,1,0,0,0,0,1,1,0,1,0,1,0
"147",85,1,17,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1
"148",4,1,24,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
"149",9,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
"150",11,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
"151",32,1,50,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1
"152",11,1,14,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
"153",4,1,33,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1
"154",30,1,36,1,1,2,1,1,0,0,0,0,1,0,0,1,1,1,1
"155",26,1,310,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0
"156",12,1,57,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
"157",4,1,83,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
"158",6,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
"159",9,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0
"160",7,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
"161",4,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
"162",29,1,31,1,0,1,0,0,1,0,1,0,1,1,0,1,1,1,0
"163",3,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
"164",4,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0
"165",106,1,1327,1,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0
"166",3,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
"167",17,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1
"168",7,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
"169",3,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
"170",3,1,14,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1
"171",12,1,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0
"172",3,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
"173",251,1,309,1,1,4,1,0,1,0,0,1,1,0,1,1,1,1,1
"174",4,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
"175",146,1,151,1,1,2,0,1,0,0,0,0,1,1,0,1,1,1,1
"176",60,1,46,1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1
"177",13,1,8,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
"178",13,1,4,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,1
"179",71,1,381,1,1,2,0,0,1,0,0,1,1,1,0,1,1,1,1
"180",34,1,103,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1
"181",3,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
"182",36,1,50,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0
"183",6,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
"184",61,0,49,0,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1
"185",36,1,53,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1
"186",3,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
"187",6,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
"188",25,1,38,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0
"189",5,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,1
"190",74,0,475,1,0,1,0,1,0,0,0,0,1,1,0,1,1,1,1
"191",4,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1
"192",3,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0
"193",3,1,0,1,0,1,0,1,0,0,1,0,1,1,1,1,0,1,0
"194",101,1,93,0,0,1,1,0,0,1,0,1,1,0,1,0,1,1,1
"195",5,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0
"196",3,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
"197",4,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
"198",8,1,3,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0
"199",5,1,4,0,0,2,0,0,1,0,1,0,1,1,0,1,0,1,0
"200",4,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1
"201",20,1,20,1,0,2,0,1,0,0,0,0,1,1,0,1,1,1,1
"202",5,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
"203",9,1,12,1,0,2,0,1,0,0,0,0,0,1,0,1,1,1,1
"204",3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0
"205",3,1,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0,1,0
"206",7,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0
"207",50,1,115,0,0,2,1,0,1,0,0,0,1,0,0,1,1,1,1
"208",3,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
"209",11,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0
"210",140,1,219,1,0,2,1,0,1,0,0,0,1,1,1,1,1,1,1
"211",12,1,11,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1
"212",10,0,11,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1
"213",37,1,58,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1
"214",3,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
"215",3,1,0,0,0,2,0,1,0,0,0,0,1,1,0,1,0,1,0
"216",11,1,28,0,0,3,1,0,1,0,0,0,1,0,0,1,1,1,0
"217",4,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1
"218",9,1,9,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
"219",17,0,57,1,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1
"220",5,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0
"221",9,1,32,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,1
"222",5,1,25,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0
"223",6,1,23,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
"224",49,1,127,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1
"225",4,1,3,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
"226",6,1,0,1,0,2,1,0,1,0,1,0,1,0,0,1,0,1,0
"227",83,1,79,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1
"228",8,1,3,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1
"229",5,1,20,0,0,2,0,1,0,0,0,0,1,1,0,1,1,1,0
"230",18,1,30,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0
"231",3,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
"232",4,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
"233",7,1,7,0,0,3,1,1,0,0,0,0,1,0,0,0,0,1,0
"234",4,1,9,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1
"235",3,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
"236",6,0,6,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1
"237",4,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
"238",3,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1
"239",59,1,149,1,0,2,1,0,1,0,0,1,1,1,1,1,1,1,0
"240",3,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
"241",38,1,239,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1
"242",14,1,10,1,0,1,0,1,0,0,1,0,0,1,0,1,1,1,0
"243",17,0,19,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1
"244",51,1,81,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1
"245",4,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0
"246",11,1,172,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
"247",6,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
"248",5,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
"249",8,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0
"250",3,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
"251",9,1,10,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,1
"252",7,1,3,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0
"253",12,1,12,0,0,1,1,0,1,0,0,0,1,1,0,1,1,1,0
"254",11,1,14,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0
"255",3,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1
"256",5,1,26,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1
"257",5,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
"258",7,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
"259",13,1,14,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0
"260",3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0
"261",3,1,3,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
"262",11,1,50,0,0,2,1,1,0,0,0,0,1,1,0,1,0,1,0
"263",14,1,12,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1
"264",6,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
"265",18,1,145,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1
"266",3,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0
"267",4,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
"268",6,1,7,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1
"269",19,1,83,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0
"270",10,0,14,0,0,2,1,1,0,0,0,0,1,0,0,1,1,1,1
"271",19,1,26,1,1,2,1,0,1,0,1,0,1,1,1,1,1,1,0
"272",9,1,8,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0
"273",4,1,11,0,0,2,1,1,0,0,0,0,1,1,0,1,0,1,1
"274",33,1,73,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1,0
"275",3,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
"276",20,1,15,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0
"277",21,1,5,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0
"278",127,1,133,1,0,1,0,1,0,0,0,0,1,1,0,1,1,1,1
"279",4,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,0
"280",13,1,26,1,0,1,0,1,0,0,0,0,1,1,0,1,1,1,1
"281",4,1,22,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0
"282",3,1,6,1,0,3,1,1,0,0,0,0,1,0,0,0,0,1,0
"283",19,1,59,0,0,2,0,1,0,0,0,0,1,1,0,1,1,1,0
"284",7,1,25,0,0,2,0,1,0,0,0,1,1,1,0,1,1,1,0
"285",5,1,18,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
"286",6,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
"287",3,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
"288",87,1,151,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0
"289",3,1,5,1,1,0,1,0,1,0,0,1,1,1,0,1,1,1,1
"290",6,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
"291",237,1,483,1,0,2,0,1,0,0,0,0,1,1,0,1,1,1,1
"292",31,1,69,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0
"293",7,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0
"294",3,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
"295",24,1,53,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0
"296",10,1,5,1,0,1,1,1,0,0,0,0,1,1,0,1,1,1,0
"297",6,1,8,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0
"298",5,1,21,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0
"299",72,1,134,1,1,3,1,0,1,0,1,1,1,1,1,1,1,1,0
"300",11,1,5,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0
"301",3,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
"302",5,1,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1
"303",3,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
"304",4,1,11,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0
"305",7,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1
"306",3,1,9,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0
"307",3,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
"308",9,1,6,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0
"309",266,1,652,1,1,2,1,0,1,0,0,0,1,1,0,1,1,0,1
"310",7,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0
"311",5,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
"312",5,1,14,1,0,2,1,1,0,0,0,0,1,1,0,1,0,1,1
"313",10,1,11,0,0,2,0,1,0,0,0,0,1,1,0,1,0,1,0
"314",10,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
"315",21,1,42,0,0,1,1,0,1,0,0,0,1,1,0,1,1,1,0
"316",4,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1
"317",6,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1
"318",5,1,45,1,0,2,0,1,0,0,0,0,1,1,0,1,0,1,0
"319",12,0,12,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0
"320",7,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
"321",4,0,0,0,0,2,0,1,0,0,0,0,1,1,0,1,0,1,1
"322",4,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
"323",12,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0
"324",3,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0
"325",43,0,39,1,0,3,1,1,0,0,0,0,1,0,0,1,1,1,1
"326",13,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1
"327",9,1,58,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0
"328",5,1,10,1,0,2,0,1,0,0,0,0,1,1,0,1,0,1,0
"329",5,1,34,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0
"330",4,1,4,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
"331",3,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
"332",3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1
"333",13,1,42,0,0,4,1,0,1,0,0,0,1,1,0,1,0,1,0
"334",3,1,9,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
